13.4	22.9	71	0.6
7.4	25.1	44	0
12.9	25.7	38	0
9.2	28	45	0
17.5	32.3	82	1
14.6	29.7	55	0.2
14.3	25	49	0
7.7	26.7	48	0
9.7	31.9	42	0
13.1	30.1	58	1.4
13.4	30.4	48	0
15.9	21.7	89	2.2
15.9	18.6	76	15.6
12.6	21	65	3.6
9.8	27.7	50	0
14.1	20.9	69	0
13.5	22.9	80	16.8
11.2	22.5	47	10.6
9.8	25.6	45	0
11.5	29.3	56	0
17.1	33	38	0
20.5	31.8	54	0
15.3	30.9	55	0
12.6	32.4	49	0
16.2	33.9	45	0
16.9	33	41	0
20.1	32.7	56	0
19.7	27.2	49	0
12.5	24.2	78	1.2
12	24.4	48	0.8
11.3	26.5	46	0
9.6	23.9	44	0
10.5	28.8	43	0
12.3	34.6	41	0
12.9	35.8	41	0
13.7	37.9	33	0
16.1	38.9	34	0
14	28.3	43	0
12.5	28.4	38	0
17	30.8	36	0
16.9	32	52	0
17.3	34.7	48	0
17.2	37.7	51	0
17.4	43	40	0
19.8	32.7	34	0
14.9	26.7	46	0
10.5	28.4	35	0
11.3	32.2	34	0
13.9	36.6	39	0
18.6	39.9	36	0
19.3	38.1	48	0.8
24.4	34	60	0.6
18.8	35.2	43	6.4
20.8	30.6	41	0
14	34.3	44	0
15.7	38.4	48	0
18.5	38.2	48	0
20.4	40.7	45	0
21.8	41.5	38	0
22.3	42.9	37	0
22	42.7	33	0
28	43.1	27	0
24.4	38.3	32	0.2
21.5	37.7	51	0
21.7	36.9	53	0
21.5	41.2	48	0
23.5	42.2	39	0
22.3	44.8	36	0
28.3	40.2	20	0
18.4	31.2	66	0.4
14.9	27.3	50	0
13.5	26.7	45	0
16.1	21.6	58	0
14.6	29	41	3
12.4	29.2	37	0
13.3	31.3	50	0
17.2	31.1	43	0
12.5	28.8	46	0
18	32	44	0
16.2	34	53	0
18.7	29.1	45	0
13.7	31.7	63	0
15.5	33.2	49	0
14.3	34	48	0
12.9	29.6	54	0
8.9	31.9	49	0
15	32.7	43	0
15.4	32.6	53	0
16	34.5	44	0
12.8	30.3	53	0
13.2	31.9	53	0
18	31.1	58	0
13.8	22.1	57	0.2
11.5	22	60	0
7.6	24	52	0
8.3	27.9	58	0
11	30.2	54	0
13.8	31.8	49	0
15.5	32	51	0
18.4	30.5	57	1.2
20.9	25.7	52	0
17.1	25.8	82	5.8
16.4	27	82	3
10	19.7	62	11.6
8.8	21.9	78	0
8.4	25.3	78	0
9.3	28	76	0
11.3	30.1	56	0
11.5	33.5	50	0
13.8	33.6	47	0
14.6	30	56	0
14.4	31.6	63	0
10.8	31.9	62	0
15.4	22.3	69	0.4
13.3	29.8	87	1.8
10.1	27.6	63	0
9.1	28.9	60	0
10.4	31.2	60	0
13.4	30.4	57	0
12.3	29.9	61	0
12.2	30.6	59	0
14.3	32.1	59	0
18.4	28.1	92	8.6
10.7	21.4	60	12.6
7.8	21.7	72	0
8.1	21.4	58	0
7.5	22.5	55	0
8.2	24	60	0
8.1	25.7	67	0
11.6	26.7	59	0
13	24.9	75	8.4
13.5	24.2	88	6.2
9.9	25.4	65	0
12.2	25	68	0
10.7	21.9	44	0
3.5	20	65	0
6.6	21.6	59	0
7	23.4	73	0
11.2	23.9	54	0
7.4	22	58	0
5.7	21.4	68	0
6.2	22.7	73	0
6	22.9	68	0
10.6	16.2	74	0
12.9	15.8	83	20
8.6	12.9	77	21
4.5	11.5	82	3.2
7.6	14.5	83	4.8
5.4	12.2	62	0
2.1	16.5	70	0
1.8	17	77	0
7.2	19.2	81	0
4.6	18.9	75	0
4.2	19.1	86	0
5.2	18.8	71	0
4.1	19.3	82	0
3.2	18.4	86	0
4.3	19	68	0
3.7	20.5	78	0
5.4	19.5	69	0
4.3	17.7	89	0
3.6	18.5	81	0
3.6	15.1	86	0
6.9	16.3	77	0
10.3	16.6	82	0
12.4	16.4	82	1.8
3	15.6	83	0
2.6	19.7	82	0
3.7	19.1	87	0
5.1	18.6	75	0
4.4	19.8	81	0
4.7	19.8	75	0
6.2	22.9	71	0
6.7	21.1	69	0
9.3	20.3	77	0
11.6	18.1	97	4.2
8	16.2	99	0.8
2.6	15.7	91	0
2.2	16.5	67	0
2.2	16.8	65	0
1.7	17.1	73	0
8	14.3	88	1.2
8.4	13.4	78	1.4
10.6	14.3	85	4.8
8.9	17.4	99	8
2.8	16.1	86	0
1.7	10.5	99	0.2
4.7	11.6	93	14.4
9	12	88	4.6
6.3	8.8	92	2
3	10.5	77	5.6
-2	9.6	84	0
-1.3	8.2	99	0
1.8	12.4	86	0
2	15.8	82	0
0.5	14.9	99	0.4
1.2	17.7	83	0
0.6	15.9	94	0
0.5	14.7	99	0
0.5	15.3	93	0
0.9	17.3	85	0
7	17	99	1.6
5	14.9	99	5.6
3.9	15.5	99	0
7.7	14.1	81	6
4.7	12.2	99	0
6.9	13.7	99	4.4
8.4	11.9	79	0
9.3	12.3	98	5.4
8.2	15.7	91	3.6
9.1	16.1	78	2
8.3	13.3	85	8.4
8.8	11.6	88	5
7.6	12	82	7.8
5.7	13.2	91	0
3.4	12.4	80	0
0	12.1	99	0
-1.5	12.5	91	0
-1.7	13.8	84	0
-0.4	15	84	0.2
0.1	13.5	93	0
4.8	13.3	96	0.6
8.1	16.5	77	0.6
5.9	13.1	82	1
6.9	11	94	6.8
2.9	12.6	99	1.8
-0.6	13.4	95	0
-0.3	14.4	88	0.2
-1	12	98	0
3.2	14.1	94	0.6
3.6	16.5	95	0.2
0.8	17.7	87	0
6.6	12.3	74	0
6	13.5	83	9.8
-0.1	12.9	87	0
-0.3	12.2	95	0
2.1	9.8	85	0
1.3	8.8	99	0
4.2	12.7	89	3.8
8.3	13.2	98	2.4
3.3	12.1	99	0.2
6.5	14.5	81	5.2
7.4	13.9	99	0.2
7.5	14.1	94	0.8
8.3	13.8	79	0.8
3.2	14.7	91	0
5.7	13.8	98	5.4
5.1	17.1	99	0.4
8	13.9	79	0.8
-0.8	12.9	78	4.2
-1	12.2	91	0
1.9	14.8	72	0.2
5.9	17.7	62	0.4
6.9	14.3	99	4.8
7.7	11.6	94	0.2
6.8	15.2	99	1.2
2.7	17.5	99	0.2
5.1	15.5	79	1.6
4.2	13.6	73	3.2
0.6	15.6	85	0
1.6	16.4	99	0
5.5	18.4	78	0
7.3	14.8	72	1
0.2	14.1	90	6.6
5.8	18.9	94	3.8
8.9	17.1	68	1.2
7.1	12.8	75	2
4.2	14.4	83	3.6
1.1	16.7	72	0.4
1.1	18.6	87	0
7.2	17.9	81	4.2
6.3	11.1	77	13.4
6.7	14.2	90	1.4
5.1	14.2	96	3
1	16.8	82	0
6.1	20.7	80	0
6.3	16.9	85	1.4
2.1	15	81	0
1.6	16.6	79	0
8.3	17.6	73	0
5.7	16.5	90	0
7.5	14.3	82	0
0	18.8	83	0
6.5	24.7	70	0
13.2	25.1	44	0
4.3	17.8	60	0
1.6	17.2	68	0
2.8	21.1	74	0
6.3	19	76	0
7.4	20.4	75	10.2
5.4	20.6	98	0
8	18.9	79	0.4
3.7	19	73	0.2
11.5	20.2	77	8.4
9.3	16.8	82	28.8
8.2	18.2	72	1.4
5.3	20.6	60	0
6.8	12.2	79	6
4.5	12.9	78	1.6
5.5	17.9	79	0
1.7	17	73	0
4	21.4	75	0
8.9	21.1	76	0
11.7	22	68	0
8.5	13.5	87	3.2
9.6	16.2	85	1.8
8.3	19.7	85	0.2
5.2	16.2	85	0
3.8	15.9	90	3.6
1.2	16.3	65	0
3.2	18.2	63	0
4.6	19	55	0
6.4	18.7	68	0
5.8	23.3	88	0
6.6	17.7	70	2
9.5	15.1	88	7
9.7	15.7	79	1.4
4.1	16.6	77	6.8
4.6	19.2	83	0
5.1	20.3	72	0
5.1	22.7	78	0
6.9	26.6	71	0
8.8	27.1	73	0
9.1	27.1	67	0
8.1	23.9	70	0
7.4	25.4	68	0
10.6	23.1	68	0
10.8	22	52	0
5.9	24.1	64	0
11.3	26.8	67	0
14.5	26.9	65	0
13.7	29.1	75	0
15.6	30.8	65	0
17.8	34	66	0
18.7	32.4	66	0
18.7	24.3	46	0
10	23.2	59	0
6.6	25.3	67	0
10.8	27.9	55	0
11.3	29.8	57	0
13.5	31.8	55	0
15.4	33.4	48	0
15.9	35.2	49	0
17.1	36	43	0
16.7	35.1	49	0
18.1	32.8	42	0
13.4	35.4	55	0
17.2	36.3	57	0
15.3	35.1	46	0
12.1	30.5	38	0
11.4	33.5	53	0
18.6	39.7	29	0
15.3	38.2	45	0
19.3	21	95	10.6
18.3	28.3	98	25.8
11.9	23.6	63	0.4
12.8	25.8	60	0
17.2	32.9	60	0
21	34.5	48	0
15.9	26.2	82	10.2
17.1	26.4	48	0
12.8	22.3	94	9.4
13.2	23.9	82	2.4
12.3	23.6	43	0
10.6	27	48	0
11.4	31.5	57	0
12.3	27.5	42	0
10.7	26.7	44	0
11.1	30.7	58	0
13.4	31.9	47	0
18.2	24.9	58	0
9.2	25.4	64	1.2
14.2	27.4	52	0
9.2	22.6	62	1
9	26.5	52	0
11.8	29.6	52	0
13.6	32	48	0
13.1	34.7	51	0
14.6	38.6	45	0
14.5	40.3	40	0
12.2	26.4	60	3
11.1	29.2	45	0
12	31.3	52	0
12.7	33.7	48	0
15.1	36.6	44	0
18.1	38.2	41	0
